,ISOF,ISOF_minmax,ISOF_stand,GMM,GMM_minmax,GMM_stand,BRM_euc,BRM_euc_minmax,BRM_euc_stand,BRM_cos,BRM_cos_minmax,BRM_cos_stand,BRM_man,BRM_man_minmax,BRM_man_stand,ocSVM
shuttle-c0-vs-c4,1.0,0.9456627680311891,0.9998781676413255,0.9920808966861598,0.8959551656920077,0.9505360623781676,0.7453094541910331,0.6284113060428851,0.7046783625730995,0.6536306042884991,0.7922149122807018,0.8172514619883042,0.7554824561403508,0.6297514619883041,0.7496345029239766,0.7142422027290449
glass-0-1-5_vs_2,0.5564516129032258,0.5,0.5403225806451613,0.564516129032258,0.7903225806451613,0.6129032258064516,0.564516129032258,0.6209677419354839,0.685483870967742,0.5806451612903226,0.685483870967742,0.6129032258064516,0.5564516129032258,0.5403225806451613,0.6290322580645161,0.6612903225806451
shuttle-c2-vs-c4,1.0,0.6458333333333333,1.0,1.0,0.5833333333333333,0.7708333333333333,1.0,0.5,1.0,1.0,0.7708333333333334,0.7916666666666666,1.0,0.5208333333333334,1.0,0.9791666666666667
ecoli-0-1-3-7_vs_2-6,0.9545454545454546,0.9636363636363636,0.8454545454545455,0.9818181818181818,1.0,0.9818181818181818,0.8727272727272727,1.0,0.9818181818181818,0.9454545454545454,0.9545454545454546,0.7181818181818183,0.8909090909090909,0.7636363636363637,0.9818181818181818,0.5909090909090908
glass0,0.7413793103448276,0.5886699507389163,0.6798029556650247,0.7463054187192117,0.7192118226600985,0.7931034482758621,0.7758620689655172,0.689655172413793,0.7216748768472907,0.7512315270935961,0.6650246305418719,0.6502463054187193,0.7266009852216748,0.6650246305418719,0.7142857142857144,0.729064039408867
winequality-white-9_vs_4,0.6060606060606061,0.5757575757575758,0.5454545454545454,0.5151515151515151,0.8484848484848485,0.5757575757575757,0.8787878787878788,0.7272727272727273,0.5454545454545454,0.5151515151515151,1.0,0.6363636363636364,0.8484848484848485,0.6363636363636362,0.7575757575757576,0.8787878787878788
abalone-20_vs_8-9-10,0.6750440917107583,0.6790123456790124,0.7160493827160493,0.705026455026455,0.7160493827160495,0.5092592592592592,0.900352733686067,0.8928571428571429,0.8888888888888888,0.8342151675485009,0.9303350970017636,0.7799823633156966,0.8932980599647267,0.8765432098765432,0.894620811287478,0.5573192239858906
wisconsinImb,0.9850187265917603,0.9850187265917603,0.9850187265917603,0.9417134831460674,0.9344569288389513,0.8366104868913857,0.9695692883895131,0.9705056179775281,0.974250936329588,0.7979868913857677,0.7066947565543071,0.87687265917603,0.9782303370786516,0.9784644194756554,0.9812734082397003,0.9726123595505618
glass-0-1-6_vs_2,0.657142857142857,0.6499999999999999,0.6571428571428573,0.55,0.5285714285714286,0.8714285714285714,0.5071428571428571,0.5714285714285714,0.5857142857142856,0.5071428571428571,0.5071428571428571,0.5785714285714285,0.5142857142857142,0.5857142857142857,0.6357142857142857,0.9357142857142856
glass-0-1-6_vs_5,0.7571428571428571,0.5714285714285714,0.6857142857142857,0.7714285714285715,0.8857142857142857,0.8428571428571429,0.8857142857142857,0.7571428571428571,0.8,0.9285714285714286,0.6,0.6571428571428571,0.9,0.6285714285714286,0.7857142857142857,0.6285714285714286
yeast-2_vs_4,0.9407114624505929,0.7213438735177866,0.9278656126482213,0.8774703557312253,0.5177865612648221,0.708498023715415,0.8379446640316206,0.5741106719367589,0.8389328063241106,0.7717391304347826,0.508893280632411,0.5889328063241106,0.8448616600790514,0.6027667984189723,0.8527667984189724,0.9189723320158103
habermanImb,0.5738562091503269,0.5673202614379085,0.5215686274509803,0.6758169934640523,0.6666666666666666,0.6300653594771242,0.6640522875816993,0.6326797385620915,0.6718954248366014,0.6967320261437908,0.7163398692810458,0.657516339869281,0.6849673202614379,0.6326797385620915,0.6588235294117647,0.7084967320261438
abalone9-18,0.7971014492753623,0.7842190016103059,0.7954911433172303,0.8542673107890499,0.8341384863123994,0.6030595813204509,0.8921095008051529,0.8663446054750403,0.9074074074074074,0.9098228663446055,0.7729468599033816,0.6650563607085347,0.8647342995169083,0.8446054750402576,0.8542673107890499,0.7310789049919485
page-blocks0,0.89647216974277,0.8713395582037495,0.9153375236157535,0.908498038075861,0.9008955820374945,0.8923030809475367,0.5089376544106962,0.8494586542653684,0.859059366371167,0.6144637407353583,0.8509755122801919,0.5136517221334109,0.5196737392820812,0.7679843046068886,0.873764714431042,0.5248510390931551
poker-9_vs_7,0.8936170212765957,0.8936170212765957,0.9042553191489362,0.9680851063829787,1.0,0.8723404255319149,0.9148936170212766,0.9787234042553192,0.9680851063829787,0.5212765957446809,0.7659574468085106,0.8829787234042553,0.9680851063829787,0.9893617021276595,0.9893617021276595,0.8936170212765957
yeast-1-4-5-8_vs_7,0.7706766917293233,0.6403508771929824,0.7518796992481203,0.7418546365914787,0.5789473684210527,0.7055137844611529,0.6629072681704261,0.5626566416040101,0.7205513784461153,0.7092731829573935,0.6629072681704261,0.5037593984962405,0.6879699248120301,0.5977443609022557,0.7506265664160401,0.6416040100250627
abalone19,0.7344189786891838,0.8315239244069159,0.780659429030961,0.5454362685967029,0.5581021310816244,0.5965018094089265,0.6306795335745878,0.5273421793325292,0.6274628065942902,0.6369119420989144,0.5217129071170085,0.7812625653397668,0.6332931242460796,0.5205066344993968,0.6162042621632489,0.7404503417772416
kr-vs-k-three_vs_eleven,0.708875128998968,0.708875128998968,0.7057791537667698,0.7461300309597523,0.6116615067079463,0.6342621259029928,0.7424664602683179,0.8207430340557276,0.7751289989680082,0.7939112487100103,0.8235294117647058,0.8006191950464396,0.774406604747162,0.7837461300309597,0.6707946336429309,0.8698658410732714
zoo-3,0.6,0.6,0.75,0.8,0.8,0.5,0.85,0.6,0.6,0.85,0.6,0.95,0.85,0.65,0.65,0.95
winequality-red-4,0.5201529861724037,0.526919682259488,0.5301559282141806,0.5016181229773463,0.5578111209179171,0.5125036775522213,0.5533980582524272,0.5216240070609002,0.5851721094439541,0.655192703736393,0.540453074433657,0.5675198587819947,0.5363342159458664,0.5378052368343631,0.6116504854368933,0.5401588702559577
abalone-3_vs_11,0.9965986394557823,0.9591836734693877,1.0,0.9557823129251701,0.6666666666666667,0.9353741496598639,0.738095238095238,0.8163265306122449,0.6496598639455782,0.7551020408163266,0.8095238095238095,0.9863945578231292,0.7414965986394557,0.8163265306122449,0.6836734693877551,0.9829931972789115
page-blocks-1-3_vs_4,0.8707865168539326,0.7677902621722846,0.8689138576779026,0.7078651685393258,0.7921348314606742,0.8895131086142322,0.799625468164794,0.7453183520599251,0.8314606741573034,0.6460674157303371,0.7415730337078652,0.8370786516853932,0.7865168539325842,0.7752808988764045,0.8689138576779026,0.6956928838951311
poker-8-9_vs_6,0.6575342465753424,0.6575342465753424,0.6383561643835617,0.7527397260273972,0.8472602739726027,0.7547945205479452,0.8424657534246576,0.6712328767123288,0.7657534246575343,0.6445205479452054,0.5301369863013699,0.7321917808219178,0.9171232876712329,0.6061643835616438,0.6863013698630137,0.7643835616438356
shuttle-6_vs_2-3,0.9318181818181819,0.9886363636363636,0.9318181818181819,1.0,0.7159090909090909,0.8068181818181819,0.9772727272727273,1.0,0.9772727272727273,0.8977272727272727,0.5568181818181819,0.9090909090909091,0.9772727272727273,1.0,0.9772727272727273,0.9545454545454546
